DATE,PM_10,PM_2_5,TEMP,PRESS,HUMID
20231128-151139,4.30,1.10,19.36,100564.88,56.91
20231128-151407,3.60,1.20,19.36,100570.09,56.99
20231128-151634,3.08,1.20,19.36,100570.88,57.30
20231128-151900,4.80,1.00,19.34,100572.94,57.03
20231128-152129,2.65,1.10,19.36,100564.88,57.41
20231128-152356,3.17,1.20,19.38,100576.72,57.05
20231128-152623,5.57,1.20,19.34,100570.31,57.66
20231128-152849,3.28,1.20,19.38,100579.34,57.41
20231128-153119,3.88,1.15,19.39,100580.16,57.02
20231128-153346,3.03,0.90,19.37,100582.97,57.31
20231128-153613,3.05,1.17,19.36,100585.78,57.62
20231128-153840,2.67,1.17,19.35,100584.97,57.58
20231128-154107,1.08,0.88,19.39,100585.38,57.12
20231128-154334,2.92,1.20,19.38,100583.75,57.27
20231128-154601,10.10,1.35,20.07,100591.53,56.63
20231128-155001,NA,NA,NA,NA,
20231128-164151,2.72,1.02,19.93,100605.72,56.65
20231128-164417,1.92,0.95,19.93,100597.88,56.22
20231128-164644,1.25,0.80,19.83,100599.16,56.02
20231128-164911,2.40,0.95,19.71,100586.97,56.16
20231128-165138,2.45,1.08,19.73,100593.59,56.49
20231128-165406,3.30,1.00,19.80,100596.19,56.40
20231128-165633,1.90,0.75,19.84,100589.50,56.42
20231128-165900,2.67,0.80,19.88,100600.34,55.98
20231128-170127,3.60,1.02,19.81,100603.00,56.10
20231128-170354,2.60,0.90,19.80,100604.03,56.23
20231128-170621,3.30,0.98,19.78,100599.00,56.99
20231128-170848,3.58,1.00,19.85,100601.56,56.66
20231128-171114,2.08,0.93,19.84,100599.97,56.37
20231128-171341,1.45,0.90,19.82,100598.56,56.28
20231128-171648,5.45,0.90,19.75,100604.66,57.01
20231128-171915,4.55,1.05,19.83,100603.59,56.38
20231128-172142,3.45,1.00,19.87,100601.34,56.72
20231128-172409,3.15,0.80,19.88,100597.72,56.23
20231128-172640,3.55,1.20,19.83,100598.38,56.12
20231128-172907,3.80,1.20,19.89,100600.13,56.14
20231128-173134,1.58,0.90,19.87,100601.34,56.07
20231128-173401,6.07,1.20,19.68,100595.25,56.64
20231128-173628,2.92,1.10,19.56,100602.97,57.28
20231128-173856,5.78,1.15,19.72,100602.47,57.47
20231128-174123,5.50,1.45,19.60,100603.34,56.75
20231128-174350,11.07,2.40,19.38,100609.91,55.87
20231128-174617,10.50,2.20,19.31,100609.13,56.51
20231128-174844,8.25,2.28,19.37,100603.06,57.11
20231128-175111,7.05,1.80,19.42,100603.25,56.38
20231128-175338,8.50,2.25,19.49,100604.03,56.33
20231128-175606,7.50,1.70,19.54,100604.19,56.53
20231128-175836,5.85,1.63,19.50,100603.00,56.61
20231128-180103,9.18,2.00,19.37,100600.47,56.71
20231128-180330,6.35,1.88,19.33,100599.28,57.13
20231128-180823,5.28,1.80,19.33,100602.69,57.68
20231128-181050,9.43,2.10,19.29,100595.47,57.77
20231128-181317,6.70,1.70,19.35,100594.63,57.27
20231128-181544,4.70,1.83,19.31,100583.81,57.25
20231128-181811,5.45,1.65,19.40,100589.59,57.65
20231128-182038,5.45,2.00,19.39,100585.38,57.42
20231128-182305,5.15,1.80,19.38,100594.22,57.49
20231128-182531,5.20,1.73,19.41,100585.94,57.33
20231128-182758,5.90,1.90,19.36,100585.78,57.58
20231128-183025,6.63,1.90,19.30,100587.41,57.38
20231128-183251,6.35,2.10,19.26,100594.06,57.95
20231128-183518,4.47,1.80,19.20,100587.03,57.53
20231128-183745,6.43,1.83,19.19,100590.66,57.54
20231128-184012,6.25,1.83,19.15,100596.53,57.72
20231128-184239,7.95,2.28,19.15,100597.31,57.74
20231128-184506,5.15,2.13,19.14,100600.13,57.85
20231129-105404,2.47,1.20,21.46,99720.47,37.89
20231129-105630,1.73,1.10,21.31,99720.25,38.27
20231129-105856,3.75,1.40,21.16,99718.25,37.97
20231129-110123,3.55,1.17,21.03,99709.94,37.50
20231129-110409,1.42,1.00,21.12,99714.53,37.44
20231129-110635,1.42,0.95,21.16,99712.19,37.00
20231129-110905,3.63,1.20,21.22,99708.59,37.32
20231129-111132,2.50,1.10,21.15,99705.38,37.48
20231129-111359,2.05,1.10,21.11,99707.66,36.83
20231129-111627,1.73,1.10,21.11,99702.44,37.12
20231129-111854,1.15,0.93,21.13,99708.22,36.98
20231129-112120,1.33,1.10,21.17,99711.94,36.24
20231129-112348,1.20,1.10,21.22,99704.16,36.05
20231129-112615,2.33,1.10,21.23,99707.59,36.54
20231129-112841,1.35,1.08,21.26,99699.25,36.14
20231129-113108,1.77,1.10,21.24,99696.06,35.96
20231129-113335,1.48,1.15,21.28,99689.28,35.81
20231129-113601,1.65,1.17,21.27,99679.84,35.88
20231129-113829,1.20,1.10,21.25,99671.41,35.76
20231129-114057,1.23,1.02,21.27,99672.75,35.80
20231129-114324,1.33,1.23,21.36,99665.25,35.93
20231129-114553,1.83,1.20,21.31,99659.94,35.69
20231129-114822,2.17,1.20,21.34,99655.00,35.55
20231129-115048,1.95,1.20,21.39,99654.28,35.73
20231129-115316,3.00,1.35,21.38,99650.03,34.93
20231129-115543,1.67,1.05,21.41,99655.59,35.70
20231129-115837,1.55,1.23,21.42,99649.31,35.69
20231129-120105,2.67,1.58,21.51,99655.72,35.45
20231129-120353,1.35,1.10,21.56,99647.09,35.52
20231129-120640,1.88,1.48,21.63,99640.63,35.04
20231129-120948,1.38,1.23,21.63,99635.38,35.05
20231129-121232,2.67,1.50,21.58,99622.22,34.81
20231129-121502,2.53,1.40,21.68,99626.78,34.75
20231129-121728,2.50,1.50,21.71,99631.53,34.40
20231129-121955,1.83,1.20,21.73,99629.44,34.63
20231129-122231,1.77,1.13,21.74,99623.19,34.86
20231129-122504,2.03,1.23,21.74,99628.44,34.37
20231129-122734,1.48,1.30,21.77,99629.75,34.76
20231129-123025,2.20,1.20,21.79,99630.31,34.20
20231129-123254,1.23,1.10,21.77,99622.69,34.16
20231129-123525,1.85,1.30,21.76,99618.50,33.99
20231129-123755,1.85,1.10,21.74,99604.81,34.17
20231129-124023,2.00,1.10,21.76,99605.38,34.31
20231129-124250,1.88,0.98,21.78,99605.91,33.80
20231129-124517,1.30,1.10,21.73,99590.09,33.64
20231129-124743,1.17,1.08,21.80,99593.31,33.63
20231129-125010,1.20,1.05,21.70,99578.25,33.70
20231129-125236,1.42,1.13,21.78,99592.78,33.86
20231129-125525,1.50,1.20,21.77,99590.41,33.88
20231129-125752,1.52,1.10,21.77,99580.69,33.52
20231129-130019,1.20,1.10,21.78,99577.03,33.41
20231129-130245,1.20,1.10,21.86,99575.78,33.55
20231129-130512,1.67,1.10,21.86,99570.53,33.53
20231129-130743,2.90,1.20,21.86,99560.03,33.73
20231129-131011,6.25,1.73,21.91,99560.88,34.69
20231129-131238,1.73,1.10,21.94,99554.34,35.06
20231129-131505,5.47,1.40,21.96,99557.50,35.51
20231129-131734,11.63,1.45,21.94,99549.88,35.93
20231129-132001,7.60,1.67,21.97,99544.13,35.83
20231129-132228,10.60,1.40,21.97,99544.13,35.60
20231129-132458,1.38,1.20,22.00,99542.81,35.74
20231129-132725,2.70,1.23,22.00,99534.94,35.43
20231129-132952,1.75,1.23,22.01,99529.44,35.62
20231129-133218,4.80,1.40,22.01,99520.78,35.35
20231129-133444,4.63,1.40,22.05,99514.75,35.63
20231129-133713,3.60,1.15,22.04,99518.44,35.77
20231129-133939,2.28,1.20,22.07,99523.19,34.91
20231129-134206,2.88,1.20,22.02,99524.97,35.17
20231129-134433,1.65,1.10,22.06,99534.72,34.56
20231129-134701,2.53,0.90,22.01,99531.28,34.96
20231129-134927,1.23,1.10,22.03,99523.94,34.61
20231129-135153,1.30,0.93,22.04,99526.31,34.83
20231129-135420,1.50,1.10,22.08,99518.72,34.01
20231129-135647,2.63,1.08,22.04,99507.13,34.42
20231129-135913,1.83,1.13,22.07,99507.44,34.34
20231129-140139,1.10,1.00,22.10,99511.38,33.94
20231129-140405,2.58,0.95,22.17,99510.13,34.12
20231129-140631,0.90,0.77,22.18,99509.06,33.90
20231129-140859,2.22,1.00,22.16,99505.13,33.90
20231129-141125,0.80,0.80,22.15,99503.53,33.72
20231129-141352,1.17,0.70,22.17,99499.59,33.78
20231129-141620,0.75,0.75,22.17,99504.06,33.83
20231129-141847,1.95,0.77,22.18,99497.78,33.59
20231129-142116,1.52,0.90,22.17,99494.34,33.91
20231129-142343,1.70,0.90,22.21,99494.66,33.65
20231129-142609,0.75,0.70,22.19,99489.66,33.59
20231129-142835,0.70,0.70,22.21,99490.16,33.77
20231129-143101,1.13,1.02,22.23,99484.66,33.81
20231129-143327,1.67,0.80,22.22,99478.63,34.00
20231129-143556,2.08,0.90,22.24,99481.78,34.09
20231129-144050,0.73,0.73,22.27,99462.13,33.86
20231129-144316,0.70,0.70,22.28,99472.38,33.85
20231129-144542,2.00,0.90,22.26,99461.31,33.81
20231129-145034,2.30,1.00,22.28,99461.88,33.54
20231129-145301,1.25,0.70,22.28,99461.06,33.38
20231129-145527,1.65,0.90,22.29,99455.56,33.30
20231129-145754,1.38,0.90,22.34,99458.22,33.20
20231129-150022,1.15,0.90,22.30,99441.38,33.12
20231129-150248,0.77,0.65,22.30,99451.09,33.21
20231129-150517,0.73,0.70,22.36,99447.44,33.02
20231129-150744,2.78,0.70,22.29,99441.63,33.15
20231129-151010,8.05,1.00,22.33,99442.72,32.95
20231129-151237,1.05,0.77,22.30,99438.75,32.60
20231129-151504,0.68,0.60,22.33,99448.72,32.94
20231129-151730,0.77,0.63,22.30,99444.00,32.70
20231129-151956,8.55,1.13,22.31,99440.34,32.44
20231129-152224,0.80,0.70,22.31,99445.59,32.89
20231129-152450,0.95,0.70,22.28,99438.22,32.86
20231129-152716,1.08,0.73,22.27,99438.47,32.84
20231129-152943,1.40,0.80,22.23,99438.19,32.11
20231129-153209,0.90,0.70,22.24,99437.13,32.34
20231129-153435,0.60,0.60,22.21,99435.03,32.24
20231129-153702,2.22,0.95,22.26,99432.44,32.07
20231129-153929,0.70,0.70,22.20,99432.66,32.04
20231129-154155,1.17,0.70,22.19,99439.75,32.25
20231129-154422,1.10,0.80,22.14,99434.47,32.42
20231129-154649,0.80,0.70,22.18,99440.00,32.23
20231129-154917,1.08,0.88,22.16,99436.84,32.05
20231129-155143,0.88,0.80,22.20,99441.31,32.62
20231129-155412,0.68,0.68,22.13,99435.53,32.43
